Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
48;25,368;18,83;18,16857143;100;;;;100;100;100;;;;;;100;100;100;94,42153846;48,1;96,4;0,568;0,056;0,033;0,4738;;;;
49;;;;100;;;;100;;;;;;;100;;;;99,67642857;51,9;96,8;0,567;0,179;"3,09  
";0,4648;;;;
50;31,26533333;3,294285714;17,89733333;35,29933333;3,92;3,796;0,836666667;48,28466667;11,84533333;33,35333333;;14,29;;76,03571429;10,51;65,45266667;32,26214286;27,832;68,125;2,2;97,6;0,72;0,841;"3,43  
";0,5859;;;;
51;34,72;20,645;28,58;73,33333333;;100;;96,66666667;;100;;;;;;75;;83,33333333;96,89071429;52,1;95,6;0,533;0,057;0,0383;0,5152;;;;
52;26,15;28,56;26,15;;;;;;100;;;;;;100;100;;;96,50428571;45,4;98,3;0,585;0,362;0,0326;0,4541;;;;
53;26,15;28,56;26,15;;;;;;100;;;;;;100;100;;;96,50428571;45,4;98,3;0,585;0,362;0,0326;0,4541;;;;
54;50;;;;87,5;;;;;;;;;;;100;;100;99,72916667;58,5;98,2;0,514;0,304;0,0362;0,5814;;;;
55;36,3275;20,38;41,27333333;;100;;;100;100;;;;;;;77,77666667;;100;99,705;52;97,1;0,574;0,178;0,0368;0,5192;;;;
56;24,64066667;5,365;13,82866667;31,19416667;12,5;27,5;;55,21142857;26,45857143;;;;;100;;84,316;100;29,50714286;96,29214286;45,2;98;0,64;0,376;0,0348;0,5046;;;;
57;25,18428571;21,87;22,1625;100;;;;100;;100;;;;;;100;;100;98,40428571;46,3;99,5;0,623;0,196;"3,42  
";0,5686;;;;
58;13,04928571;7,273333333;10,97444444;60,666;60;;16,67;85;25;100;;;;100;;82,5;;72,666;87,055;53;95,7;0,592;0,227;0,0357;0,5623;;;;
59;27,51769231;15,17;18,43818182;88,89;;;;88,333;75;;;;;100;;100;100;93,332;99,66857143;50,9;97,3;0,602;0,039;"3,45  
";0,4842;;;;
60;38,40266667;8,077142857;22,71333333;26,684;13,335;20;;73,84;19,0925;;;;;83,33428571;38,88666667;62,74071429;62,49875;56,18428571;99,66214286;50,9;97,3;0,602;0,039;0,0368;3,68;;;;
61;;;;66,66666667;;;;83,33333333;50;;;;;;;87,5;;100;88,41142857;50,6;98,6;0,581;0,47;"3,17  
";0,4997;;;;
62;25,61;7,631666667;15,36642857;47,61928571;;28,88666667;;42,94769231;37,666;;;;;91,66666667;50;94,58333333;;43,88777778;92,92571429;51,8;94,6;0,592;0,513;0,0347;0,5217;;;;
63;;;;;;;;;;;;;;;;;;;99,65083333;46,3;98,2;0,641;0,316;0,0301;0,4901;;;;
64;31,366;6,845;19,00642857;27,88428571;;;;86,65285714;45,835;100;;;;;;76,21181818;50;61,685;99,625;52,3;96,1;0,552;0,219;0,0385;0,4351;;;;
65;2007,888889;23,57333333;15,48;25,46833333;90;;;;75;75;;;;100;;100;;87,5;96,32428571;51,2;98,3;0,566;0,22;0,0338;0,4936;;;;
66;8,248181818;5,063333333;5,84;58,3325;41,665;;;85,41625;;100;;;;100;;100;;79,165;99,76357143;50,2;98,3;0,591;0,15;0,0339;0,5146;;;;
67;22,93454545;14,84;18,40833333;83,33333333;;;;94,44444444;;;;;;;;75;;79,16625;99,83571429;52,2;98,4;0,524;0,021;0,0358;0,4839;;;;
68;;;;76,19;100;100;;80,95285714;50;;;;;;;95,714;;74,99833333;99,14428571;49,6;96,5;0,57;0,043;0,0361;0,4912;;;;
69;33,92909091;19,01;30,51625;75;;100;;83,33333333;50;;;;;;;80;;66,665;97,54;55,5;97,3;0,529;0,036;0,0355;0,5271;;;;
70;48,1975;35,95;38,506;75;;;;100;75;;;;;;100;100;;66,66666667;99,9225;51,2;99,1;0,606;0,327;"3,84  
";0,5969;;;;
71;;;;;;;;100;;;;;;;;100;;100;95,49857143;56,8;97,4;0,521;0,014;0,0356;0,4986;;;;
72;25,4925;12,125;18,81666667;79,16666667;;;;78,125;100;;;;;100;;83,3325;;59,72166667;96,45928571;52,2;97,6;0,58;0,37;"3,45  
";0,5473;;;;
73;;;;;;;;100;100;;;;;;;100;;75;99,78538462;54,8;95,4;0,593;0,234;0,0375;0,564;;;;
74;;;;61,11;;83,335;;78,57142857;;;;;;100;;;;;80,765;55,6;98,1;0,545;0,186;0,0355;0,5459;;;;
75;;;;75;;;;93,75;100;;;;;100;;;;;99,24642857;51,4;97,1;0,603;0,25;"3,37  
";0,5231;;;;
76;;;;80;;;;70;75;;;;;;;93,75;;;99,62928571;47,9;99,5;0,595;0,571;0,0399;0,4662;;;;
77;20,074;7,508333333;14,30466667;61,86090909;;;;57,453;15;80;;;;75;;72,388;100;79,364;98,66071429;47,3;97,3;0,623;0,627;0,0341;0,5416;;;;
78;20,91583333;14,90333333;11,81;68,54125;;25;;71,11166667;50;;;;;100;;106,25;;61,11;99,79142857;52,4;97,6;0,56;0,108;0,0351;0,5213;;;;
79;45,01;32,54;45,01;50;;;;83,33333333;;;;;;100;;;83,33333333;;;45,9;100;0,641;0,634;"3,04  
";0,5756;;;;
80;15,27428571;19,82666667;16,63;87,5;;;;75;100;75;;;;75;;75;100;;97,12928571;57,3;96,8;0,513;0,017;0,0375;0,5641;;;;
81;34,92933333;3,518181818;20,048;21,23357143;9,055;17,8975;4,26;59,02933333;14,35714286;71,875;;50;;81,25;100;79,62733333;50,94857143;43,19928571;95,33071429;42,9;95,7;0,673;0,688;0,0339;0,5373;;;;
82;21,52;7,396666667;11,05583333;57,858;14,29;;;73,31416667;38,88666667;100;;;;100;;83,33272727;33,33;67,96363636;100,0014286;50,6;97,2;0,556;0,076;0,0357;0,4586;;;;
83;;;;;;;;;;;;;;;;;;;99,47071429;47,5;98,3;0,625;0,427;0,0335;0,4618;;;;
84;26,4925;16,31;24,57833333;90;;;;100;50;;;;;100;;75;;80;99,87;54,5;96,1;0,586;0,047;0,0341;0,5405;;;;
